Background characteristic,Living with both parents,Father alive,Father dead,Mother alive,Mother dead,Both alive,Only mother alive,Only father alive,Both dead,Total,Percentage not living with a biological parent,Percentage with one or both parents dead*,Number of Children
,,,,,,,,,,,,,
Age,,,,,,,,,,,,,
<2,86.8,12.1,0.4,0.1,0.2,0,0.4,0,0,100,0.5,0.6,93746
2-4,86.7,10,0.9,0.4,0.4,0.1,1.3,0.1,0.1,100,1.6,1.5,150121
5-9,85.3,8.4,1.9,0.9,0.6,0.1,2.4,0.2,0.2,100,2.9,3.3,258689
10-14,83.2,6.8,3.9,0.7,1.5,0.3,2.9,0.3,0.4,100,3.9,6.3,276436
15-17,79.8,5.7,5.8,0.9,2,0.4,4.4,0.4,0.6,100,5.8,9.2,156224
,,,,,,,,,,,,,
Residence,,,,,,,,,,,,,
Urban,87.5,5,2.9,0.7,0.8,0.2,2.4,0.2,0.3,100,3.1,4.4,274086
Rural,82.7,9.4,2.8,1.2,0.6,0.2,2.6,0.3,0.3,100,3.3,4.7,661130
,,,,,,,,,,,,,
Sex,,,,,,,,,,,,,
Male,84.6,8,2.9,0.6,1.1,0.2,2.1,0.2,0.3,100,2.7,4.6,485896
Female,83.6,8.2,2.8,0.6,1.1,0.2,3,0.3,0.3,100,3.8,4.6,449319
,,,,,,,,,,,,,
Wealth Index,,,,,,,,,,,,,
Lowest,80.4,10.9,3.5,0.6,1.6,0.2,2.3,0.3,0.3,100,3.1,5.9,238071
Second,82.5,9,3.1,0.6,1.3,0.2,2.7,0.3,0.3,100,3.6,5.2,205178
Middle,85,7,2.9,1,0.6,0.2,2.8,0.3,0.3,100,3.6,4.6,182881
Fourth,86.5,6.3,2.6,0.8,0.7,0.2,2.6,0.2,0.3,100,3.2,3.9,166664
Highest,88.8,5.8,1.7,0.6,0.6,0.1,2.1,0.2,0.2,100,2.6,2.7,142421
,,,,,,,,,,,,,
Total age <15,85,8.6,2.2,0.9,0.5,0.2,2.1,0.2,0.2,100,2.7,3.7,778992
Total age <18,84.1,8.1,2.8,1.1,0.6,0.2,2.5,0.2,0.3,100,3.2,4.6,935216
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"* Includes children with father dead, mother dead, both parents dead, and one parent dead but missing information on survival status of the other parent.",,,,,,,,,,,,,
