Background characteristic,Living with both parents,Father alive,Father dead,Mother alive,Mother dead,Both alive,Only mother alive,Only father alive,Both dead,Total,Percentage with one or both parents dead,Number of Children
,,,,,,,,,,,,
Age,,,,,,,,,,,,
<2,88.1,10.8,0.5,0.1,0.1,0.4,0,0.1,0,100,0.7,21471
2-4,86.2,10.2,1,0.2,0.4,1.6,0,0.2,0.1,100,1.7,34425
5-9,83.8,8.8,2.1,0.5,1.1,2.9,0.2,0.3,0.2,100,3.9,62351
10-14,81.3,7.4,4.2,0.7,1.7,3.7,0.2,0.4,0.4,100,6.9,62475
15-17,75.3,6.1,6,0.9,2.2,8.2,0.4,0.6,0.5,100,9.6,29031
,,,,,,,,,,,,
Residence,,,,,,,,,,,,
Urban,86.6,4.8,2.8,0.7,0.9,3.5,0.1,0.3,0.3,100,4.4,57083
Rural,81.3,9.8,3,0.4,1.3,3.4,0.2,0.3,0.3,100,5.1,152669
,,,,,,,,,,,,
Gender,,,,,,,,,,,,
Male,83.4,8.4,2.9,0.5,1.3,2.8,0.2,0.3,0.3,100,4.9,108241
Female,82,8.6,2.9,0.5,1.2,4,0.2,0.3,0.3,100,4.9,101512
,,,,,,,,,,,,
Total age <15,83.9,8.8,2.4,0.4,1.1,2.6,0.1,0.3,0.2,100,4.1,180721
Total age <18,82.7,8.5,2.9,0.5,1.2,3.4,0.2,0.3,0.3,100,4.9,209752
