State,Living with both parents, Father alive,Father dead,Mother alive,Mother dead,Both alive,Only mother alive,Only father alive,Both dead,Total,Percentage not living with a biological parent,Percentage with one or both parents dead*
India,82,10.6,2.8,0.6,1,2.2,0.2,0.3,0.4,100,3,4.6
,,,,,,,,,,,,
Haryana,88.5,4.6,3,0.6,1.1,1.5,0.2,0.2,0.3,100,2.3,4.7
Himachal Pradesh,79.1,14.6,2.4,0.7,0.6,1.7,0.1,0.1,0.3,100,2.3,3.5
Punjab,85.8,6.7,2.9,0.9,1,1.9,0.2,0.2,0.3,100,2.7,4.5
Rajasthan,85.3,8.4,2.4,0.5,0.8,2.1,0.1,0.2,0.3,100,2.6,3.7
Uttarakhand,81.2,11.2,3.2,0.5,1.3,1.8,0.2,0.2,0.3,100,2.6,5.2
Chhattisgarh,87,3.1,3.5,0.7,1.3,3.5,0.2,0.2,0.4,100,4.3,5.6
Madhya Pradesh,87.3,4.7,2.6,0.7,1.3,2.7,0.2,0.2,0.3,100,3.5,4.5
Uttar Pradesh,78.9,13.8,2.8,0.5,1.4,1.7,0.1,0.3,0.3,100,2.5,5
Bihar,68,24.7,2.2,0.5,1.1,2.7,0.1,0.5,0.3,100,3.6,4.1
Jharkhand,74.5,16.9,3,0.8,1,2.8,0.2,0.3,0.5,100,3.8,5
Odisha,82.6,9.3,3.6,0.4,1.3,2,0.3,0.2,0.4,100,2.8,5.7
West Bengal,83,9.7,2.1,0.5,0.8,2.9,0.2,0.3,0.4,100,3.9,3.8
Arunachal Pradesh,81.8,5.5,3.2,1,1.2,4.7,0.7,0.3,1.7,100,7.3,6.3
Assam,88.3,4.2,3.5,0.4,1.3,1.3,0.2,0.2,0.5,100,2.2,5.7
Manipur,82.9,6.3,4.1,0.9,1.3,3.5,0.4,0.2,0.5,100,4.6,6.5
Meghalaya,80.2,9.4,5.6,0.2,0.8,1.7,0.3,0.5,1.3,100,3.8,7.6
Mizoram,75.5,8.1,4.5,3.5,1.3,4.5,1,0.4,1.1,100,7,8.1
Nagaland,84,3.8,2.9,1.3,1.6,4.3,0.6,0.2,1.3,100,6.4,6.5
Sikkim,79,6.1,2.6,2.5,2,3.7,0.8,1.2,2.4,100,7.9,8.7
Tripura,85.3,7.3,3,0.6,1.1,1.8,0.3,0.2,0.3,100,2.6,4.8
Goa,87.7,7.9,3.1,0.2,0.3,0.5,0.3,0,0,100,0.8,3.7
Gujarat,89.8,3.3,2.3,0.7,1,2.2,0.3,0.2,0.4,100,3,4.1
Maharashtra,90,3.1,2.9,0.4,0.7,2.2,0.1,0.1,0.3,100,2.8,4.1
Andhra Pradesh,85.7,5.5,3.6,0.9,0.9,2.7,0.2,0.2,0.4,100,3.5,5.2
Karnataka,86.7,5,3.7,0.6,0.5,2.6,0.2,0.2,0.6,100,3.6,5.2
Kerala,73.7,20.9,2.5,0.8,0.5,1.3,0.1,0.2,0.2,100,1.6,2.5
Tamil Nadu,80.3,12.7,3.4,0.6,0.6,1.7,0.2,0.2,0.3,100,2.4,4.7
Telangana,86.9,5.6,3.9,0.4,0.8,1.5,0.2,0.2,0.5,100,2.4,5.6
Andaman & Nicobar Islands,87.3,3.4,2.9,0.8,1.2,,,,,,,
Chandigarh,90.4,4.6,2.6,0.3,0.6,3.6,0.2,0.3,0.4,100,4.4,4.8
Delhi,91.3,2,2.8,0.8,0.9,1.4,0.1,0,0.1,100,1.6,3.4
Dadra & Nagar Haveli,,,,,,1.4,0.1,0.2,0.4,100,2.1,4.4
Daman & Diu,,,,,,,,,,,,
Dadra & Nagar Haveli and Daman & Diu,87.7,4.7,2.8,1.1,0.3,2.6,0.3,0,0.5,100,3.4,3.9
Jammu & Kashmir,95.7,0.8,1.6,0.3,0.7,,,,,,,
Ladakh,95.9,1,1.6,0.2,0.8,0.6,0.1,0,0.2,100,0.9,2.7
Lakshadweep,49.5,44.9,1.2,0.5,0.2,0.1,0.1,0.1,0.3,100,0.5,2.8
Puducherry,84.6,7.9,4.3,0.1,0.8,3.2,0,0.4,0,100,3.7,1.7
